2014-12-12 21:25:47,739 | INFO  | Recovery replayed 1079 operations from the journal in 0.106 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-12-12 21:25:47,930 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-48303-1418415947774-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-12-12 21:25:47,954 | INFO  | Listening for connections at: tcp://moritz-ThinkPad-Edge-S430:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-12-12 21:25:47,960 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-12-12 21:25:47,969 | INFO  | Listening for connections at: amqp://moritz-ThinkPad-Edge-S430:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-12-12 21:25:47,976 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-12-12 21:25:47,992 | INFO  | Listening for connections at: stomp://moritz-ThinkPad-Edge-S430:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-12-12 21:25:48,002 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-12-12 21:25:48,019 | INFO  | Listening for connections at: mqtt://moritz-ThinkPad-Edge-S430:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-12-12 21:25:48,026 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-12-12 21:25:54,522 | INFO  | Listening for connections at ws://moritz-ThinkPad-Edge-S430:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-12-12 21:25:54,522 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-12-12 21:25:54,526 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-48303-1418415947774-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-12-12 21:25:54,528 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-12-12 21:25:54,928 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-12-12 21:25:54,990 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-12-12 21:25:55,317 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-12-12 21:43:00,769 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:moritz-ThinkPad-Edge-S430-48303-1418415947774-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-23
2014-12-12 21:43:00,772 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2014-12-12 21:43:00,774 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2014-12-12 21:43:00,777 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-23
